miRNA,disease,preScore
hsa-mir-1298,Breast Neoplasms,0.3692
hsa-mir-3945,Breast Neoplasms,0.3689
hsa-mir-1302-1,Breast Neoplasms,0.3685
hsa-mir-1302-3,Breast Neoplasms,0.3675
hsa-mir-4753,Breast Neoplasms,0.3674
hsa-mir-6075,Breast Neoplasms,0.366
hsa-mir-3185,Breast Neoplasms,0.3635
hsa-mir-583,Breast Neoplasms,0.3625
hsa-mir-1302-2,Breast Neoplasms,0.3589
hsa-mir-1178,Breast Neoplasms,0.3563
hsa-mir-4505,Breast Neoplasms,0.3537
hsa-mir-4480,Breast Neoplasms,0.3505
hsa-mir-586,Breast Neoplasms,0.3487
hsa-mir-4436b-2,Breast Neoplasms,0.3449
hsa-mir-4721,Breast Neoplasms,0.3413
hsa-mir-1976,Breast Neoplasms,0.3379
hsa-mir-642b,Breast Neoplasms,0.3354
hsa-mir-548b,Breast Neoplasms,0.3324
hsa-mir-548k,Breast Neoplasms,0.3297
hsa-mir-1183,Breast Neoplasms,0.3291
hsa-mir-3138,Breast Neoplasms,0.3184
hsa-mir-1909,Breast Neoplasms,0.3181
hsa-mir-4717,Breast Neoplasms,0.3031
hsa-mir-3909,Breast Neoplasms,0.3003
hsa-mir-4793,Breast Neoplasms,0.2901
hsa-mir-4508,Breast Neoplasms,0.2849
hsa-mir-6886,Breast Neoplasms,0.284
hsa-mir-676,Breast Neoplasms,0.2794
hsa-mir-596,Breast Neoplasms,0.2785
hsa-mir-6720,Breast Neoplasms,0.2723
hsa-mir-2909,Breast Neoplasms,0.2614
hsa-mir-1295a,Breast Neoplasms,0.2588
hsa-mir-641,Breast Neoplasms,0.2454
hsa-mir-4639,Breast Neoplasms,0.242
hsa-let-7d,Colorectal Neoplasms,0.9353
hsa-mir-98,Colorectal Neoplasms,0.9339
hsa-mir-296,Colorectal Neoplasms,0.8952
hsa-mir-30e,Colorectal Neoplasms,0.8651
hsa-mir-151a,Colorectal Neoplasms,0.8542
hsa-let-7f-1,Colorectal Neoplasms,0.8506
hsa-mir-212,Colorectal Neoplasms,0.8497
hsa-mir-302b,Colorectal Neoplasms,0.8472
hsa-mir-494,Colorectal Neoplasms,0.8443
hsa-mir-101-1,Colorectal Neoplasms,0.8419
hsa-mir-449a,Colorectal Neoplasms,0.8397
hsa-let-7f-2,Colorectal Neoplasms,0.8376
hsa-mir-30c-2,Colorectal Neoplasms,0.8329
hsa-mir-10a,Colorectal Neoplasms,0.8323
hsa-mir-30c-1,Colorectal Neoplasms,0.8275
hsa-mir-184,Colorectal Neoplasms,0.8272
hsa-mir-181c,Colorectal Neoplasms,0.8125
hsa-mir-24-1,Colorectal Neoplasms,0.8098
hsa-mir-29b-1,Colorectal Neoplasms,0.8062
hsa-mir-29b-2,Colorectal Neoplasms,0.8004
hsa-mir-381,Colorectal Neoplasms,0.7829
hsa-mir-101-2,Colorectal Neoplasms,0.7769
hsa-mir-138-1,Colorectal Neoplasms,0.7686
hsa-mir-1207,Colorectal Neoplasms,0.766
hsa-mir-128-2,Colorectal Neoplasms,0.7623
hsa-mir-377,Colorectal Neoplasms,0.7562
hsa-mir-302d,Colorectal Neoplasms,0.7545
hsa-mir-24-2,Colorectal Neoplasms,0.7492
hsa-mir-374a,Colorectal Neoplasms,0.7452
hsa-mir-493,Colorectal Neoplasms,0.7437
hsa-mir-495,Colorectal Neoplasms,0.7407
hsa-mir-299,Colorectal Neoplasms,0.7338
hsa-mir-365a,Colorectal Neoplasms,0.7312
hsa-mir-138-2,Colorectal Neoplasms,0.7294
hsa-mir-744,Colorectal Neoplasms,0.7267
hsa-mir-411,Colorectal Neoplasms,0.7266
hsa-mir-365b,Colorectal Neoplasms,0.7255
hsa-mir-376c,Colorectal Neoplasms,0.7172
hsa-mir-520c,Colorectal Neoplasms,0.7083
hsa-mir-675,Colorectal Neoplasms,0.7047
hsa-mir-301b,Colorectal Neoplasms,0.703
hsa-mir-421,Colorectal Neoplasms,0.7027
hsa-mir-136,Colorectal Neoplasms,0.7007
hsa-mir-181d,Colorectal Neoplasms,0.6982
hsa-mir-513c,Colorectal Neoplasms,0.6964
hsa-mir-128-1,Colorectal Neoplasms,0.6913
hsa-mir-613,Colorectal Neoplasms,0.691
hsa-mir-181a-1,Colorectal Neoplasms,0.6881
hsa-mir-433,Colorectal Neoplasms,0.6874
hsa-mir-520d,Colorectal Neoplasms,0.6793
hsa-mir-504,Colorectal Neoplasms,0.6787
hsa-mir-671,Colorectal Neoplasms,0.6779
hsa-mir-524,Colorectal Neoplasms,0.6777
hsa-mir-432,Colorectal Neoplasms,0.6767
hsa-mir-300,Colorectal Neoplasms,0.6731
hsa-mir-513a-2,Colorectal Neoplasms,0.6658
hsa-mir-526b,Colorectal Neoplasms,0.6591
hsa-mir-379,Colorectal Neoplasms,0.6585
hsa-mir-661,Colorectal Neoplasms,0.6549
hsa-mir-873,Colorectal Neoplasms,0.6513
hsa-mir-663a,Colorectal Neoplasms,0.6414
hsa-mir-1224,Colorectal Neoplasms,0.6332
hsa-mir-188,Colorectal Neoplasms,0.6309
hsa-mir-346,Colorectal Neoplasms,0.6304
hsa-mir-570,Colorectal Neoplasms,0.6241
hsa-mir-216a,Colorectal Neoplasms,0.6239
hsa-mir-488,Colorectal Neoplasms,0.6239
hsa-mir-513a-1,Colorectal Neoplasms,0.6183
hsa-mir-517a,Colorectal Neoplasms,0.6171
hsa-mir-208b,Colorectal Neoplasms,0.6143
hsa-mir-766,Colorectal Neoplasms,0.613
hsa-mir-1228,Colorectal Neoplasms,0.612
hsa-mir-151b,Colorectal Neoplasms,0.6042
hsa-mir-539,Colorectal Neoplasms,0.6027
hsa-mir-940,Colorectal Neoplasms,0.5969
hsa-mir-520h,Colorectal Neoplasms,0.5967
hsa-mir-543,Colorectal Neoplasms,0.596
hsa-mir-384,Colorectal Neoplasms,0.595
hsa-mir-376a-1,Colorectal Neoplasms,0.5918
hsa-mir-545,Colorectal Neoplasms,0.5915
hsa-mir-203a,Colorectal Neoplasms,0.589
hsa-mir-637,Colorectal Neoplasms,0.588
hsa-mir-665,Colorectal Neoplasms,0.5835
hsa-mir-448,Colorectal Neoplasms,0.5816
hsa-mir-642a,Colorectal Neoplasms,0.5815
hsa-mir-561,Colorectal Neoplasms,0.5804
hsa-mir-765,Colorectal Neoplasms,0.5799
hsa-mir-376a-2,Colorectal Neoplasms,0.5744
hsa-mir-450a-1,Colorectal Neoplasms,0.5732
hsa-mir-371a,Colorectal Neoplasms,0.5719
hsa-mir-575,Colorectal Neoplasms,0.5691
hsa-mir-616,Colorectal Neoplasms,0.5676
hsa-mir-647,Colorectal Neoplasms,0.5651
hsa-mir-942,Colorectal Neoplasms,0.5624
hsa-mir-323a,Colorectal Neoplasms,0.5619
hsa-mir-500a,Colorectal Neoplasms,0.5614
hsa-mir-636,Colorectal Neoplasms,0.5614
hsa-mir-450a-2,Colorectal Neoplasms,0.5604
hsa-mir-516a-1,Colorectal Neoplasms,0.5601
hsa-mir-578,Colorectal Neoplasms,0.5587
hsa-mir-595,Colorectal Neoplasms,0.558
hsa-mir-508,Colorectal Neoplasms,0.5553
hsa-mir-599,Colorectal Neoplasms,0.555
hsa-mir-516a-2,Colorectal Neoplasms,0.5532
hsa-mir-3151,Colorectal Neoplasms,0.5525
hsa-mir-1247,Colorectal Neoplasms,0.5525
hsa-mir-153-2,Colorectal Neoplasms,0.5501
hsa-mir-1231,Colorectal Neoplasms,0.5477
hsa-mir-655,Colorectal Neoplasms,0.5468
hsa-mir-557,Colorectal Neoplasms,0.5467
hsa-mir-515-1,Colorectal Neoplasms,0.5463
hsa-mir-627,Colorectal Neoplasms,0.5459
hsa-mir-1260a,Colorectal Neoplasms,0.5445
hsa-mir-568,Colorectal Neoplasms,0.5439
hsa-mir-4317,Colorectal Neoplasms,0.5413
hsa-mir-944,Colorectal Neoplasms,0.5398
hsa-mir-513b,Colorectal Neoplasms,0.5392
hsa-mir-4697,Colorectal Neoplasms,0.5391
hsa-mir-499b,Colorectal Neoplasms,0.5389
hsa-mir-5010,Colorectal Neoplasms,0.5387
hsa-mir-610,Colorectal Neoplasms,0.538
hsa-mir-518e,Colorectal Neoplasms,0.5344
hsa-mir-758,Colorectal Neoplasms,0.5338
hsa-mir-3178,Colorectal Neoplasms,0.5331
hsa-mir-651,Colorectal Neoplasms,0.5324
hsa-mir-761,Colorectal Neoplasms,0.5319
hsa-mir-718,Colorectal Neoplasms,0.5312
hsa-mir-615,Colorectal Neoplasms,0.5308
hsa-mir-302f,Colorectal Neoplasms,0.5284
hsa-mir-1180,Colorectal Neoplasms,0.5257
hsa-mir-518b,Colorectal Neoplasms,0.5253
hsa-mir-323b,Colorectal Neoplasms,0.5251
hsa-mir-519a-1,Colorectal Neoplasms,0.5248
hsa-mir-6780b,Colorectal Neoplasms,0.5247
hsa-mir-4723,Colorectal Neoplasms,0.5241
hsa-mir-2116,Colorectal Neoplasms,0.524
hsa-mir-512-2,Colorectal Neoplasms,0.523
hsa-mir-1227,Colorectal Neoplasms,0.5227
hsa-mir-4782,Colorectal Neoplasms,0.5221
hsa-mir-510,Colorectal Neoplasms,0.522
hsa-mir-7847,Colorectal Neoplasms,0.5217
hsa-mir-298,Colorectal Neoplasms,0.5216
hsa-mir-525,Colorectal Neoplasms,0.521
hsa-mir-3189,Colorectal Neoplasms,0.5203
hsa-mir-3126,Colorectal Neoplasms,0.5196
hsa-mir-1469,Colorectal Neoplasms,0.5193
hsa-mir-4732,Colorectal Neoplasms,0.519
hsa-mir-4728,Colorectal Neoplasms,0.519
hsa-mir-593,Colorectal Neoplasms,0.5186
hsa-mir-23c,Colorectal Neoplasms,0.5183
hsa-mir-550a-2,Colorectal Neoplasms,0.5155
hsa-mir-2355,Colorectal Neoplasms,0.514
hsa-mir-515-2,Colorectal Neoplasms,0.5117
hsa-mir-147a,Colorectal Neoplasms,0.5113
hsa-mir-6875,Colorectal Neoplasms,0.5105
hsa-mir-7706,Colorectal Neoplasms,0.5041
hsa-mir-573,Colorectal Neoplasms,0.503
hsa-mir-507,Colorectal Neoplasms,0.5001
hsa-mir-412,Colorectal Neoplasms,0.4999
hsa-mir-3127,Colorectal Neoplasms,0.4991
hsa-mir-4731,Colorectal Neoplasms,0.4987
hsa-mir-3619,Colorectal Neoplasms,0.4986
hsa-mir-1306,Colorectal Neoplasms,0.4979
hsa-mir-1248,Colorectal Neoplasms,0.4978
hsa-mir-4258,Colorectal Neoplasms,0.4977
hsa-mir-153-1,Colorectal Neoplasms,0.4969
hsa-mir-1266,Colorectal Neoplasms,0.4963
hsa-mir-660,Colorectal Neoplasms,0.4962
hsa-mir-624,Colorectal Neoplasms,0.4951
hsa-mir-4455,Colorectal Neoplasms,0.4946
hsa-mir-320b-2,Colorectal Neoplasms,0.4944
hsa-mir-544b,Colorectal Neoplasms,0.4942
hsa-mir-4326,Colorectal Neoplasms,0.4941
hsa-mir-577,Colorectal Neoplasms,0.494
hsa-mir-1908,Colorectal Neoplasms,0.4933
hsa-mir-1236,Colorectal Neoplasms,0.4918
hsa-mir-4270,Colorectal Neoplasms,0.4898
hsa-mir-514a-2,Colorectal Neoplasms,0.4897
hsa-mir-4518,Colorectal Neoplasms,0.4893
hsa-mir-378b,Colorectal Neoplasms,0.4882
hsa-mir-4443,Colorectal Neoplasms,0.4877
hsa-mir-1225,Colorectal Neoplasms,0.4874
hsa-mir-4695,Colorectal Neoplasms,0.4872
hsa-mir-6826,Colorectal Neoplasms,0.4872
hsa-mir-876,Colorectal Neoplasms,0.4866
hsa-mir-1282,Colorectal Neoplasms,0.4865
hsa-mir-4516,Colorectal Neoplasms,0.4854
hsa-mir-604,Colorectal Neoplasms,0.4852
hsa-mir-1233-1,Colorectal Neoplasms,0.4841
hsa-mir-5004,Colorectal Neoplasms,0.4831
hsa-mir-635,Colorectal Neoplasms,0.4826
hsa-mir-302e,Colorectal Neoplasms,0.4823
hsa-mir-664a,Colorectal Neoplasms,0.4823
hsa-mir-3651,Colorectal Neoplasms,0.4822
hsa-mir-520f,Colorectal Neoplasms,0.4819
hsa-mir-511,Colorectal Neoplasms,0.4819
hsa-mir-3117,Colorectal Neoplasms,0.4806
hsa-mir-5003,Colorectal Neoplasms,0.4789
hsa-mir-767,Colorectal Neoplasms,0.4777
hsa-mir-320b-1,Colorectal Neoplasms,0.4776
hsa-mir-605,Colorectal Neoplasms,0.4776
hsa-mir-1538,Colorectal Neoplasms,0.4775
hsa-mir-378g,Colorectal Neoplasms,0.4761
hsa-mir-516b-2,Colorectal Neoplasms,0.4734
hsa-mir-658,Colorectal Neoplasms,0.4731
hsa-mir-769,Colorectal Neoplasms,0.4728
hsa-mir-3667,Colorectal Neoplasms,0.4725
hsa-mir-548d-1,Colorectal Neoplasms,0.4722
hsa-mir-3658,Colorectal Neoplasms,0.4721
hsa-mir-620,Colorectal Neoplasms,0.4721
hsa-mir-5100,Colorectal Neoplasms,0.4708
hsa-mir-4319,Colorectal Neoplasms,0.4705
hsa-mir-3622b,Colorectal Neoplasms,0.4701
hsa-mir-4706,Colorectal Neoplasms,0.4701
hsa-mir-4489,Colorectal Neoplasms,0.47
hsa-mir-3940,Colorectal Neoplasms,0.4697
hsa-mir-380,Colorectal Neoplasms,0.4692
hsa-mir-3200,Colorectal Neoplasms,0.4688
hsa-mir-1182,Colorectal Neoplasms,0.4687
hsa-mir-4466,Colorectal Neoplasms,0.4667
hsa-mir-1299,Colorectal Neoplasms,0.4658
hsa-mir-1301,Colorectal Neoplasms,0.4649
hsa-mir-3196,Colorectal Neoplasms,0.4648
hsa-mir-589,Colorectal Neoplasms,0.4643
hsa-mir-4736,Colorectal Neoplasms,0.4639
hsa-mir-1268b,Colorectal Neoplasms,0.4635
hsa-mir-4281,Colorectal Neoplasms,0.4635
hsa-mir-378d-1,Colorectal Neoplasms,0.4629
hsa-mir-378f,Colorectal Neoplasms,0.4626
hsa-mir-1284,Colorectal Neoplasms,0.4624
hsa-mir-548l,Colorectal Neoplasms,0.4624
hsa-mir-378i,Colorectal Neoplasms,0.4624
hsa-mir-564,Colorectal Neoplasms,0.4623
hsa-mir-523,Colorectal Neoplasms,0.4623
hsa-mir-657,Colorectal Neoplasms,0.4623
hsa-mir-3131,Colorectal Neoplasms,0.4618
hsa-mir-548d-2,Colorectal Neoplasms,0.4612
hsa-mir-519b,Colorectal Neoplasms,0.4611
hsa-mir-579,Colorectal Neoplasms,0.4606
hsa-mir-518c,Colorectal Neoplasms,0.4605
hsa-mir-512-1,Colorectal Neoplasms,0.4604
hsa-mir-378c,Colorectal Neoplasms,0.4603
hsa-mir-632,Colorectal Neoplasms,0.4597
hsa-mir-550a-1,Colorectal Neoplasms,0.4596
hsa-mir-920,Colorectal Neoplasms,0.4593
hsa-mir-664b,Colorectal Neoplasms,0.4587
hsa-mir-320d-1,Colorectal Neoplasms,0.458
hsa-mir-378d-2,Colorectal Neoplasms,0.4579
hsa-mir-4257,Colorectal Neoplasms,0.4572
hsa-mir-6124,Colorectal Neoplasms,0.4571
hsa-mir-518a-1,Colorectal Neoplasms,0.457
hsa-mir-1305,Colorectal Neoplasms,0.4565
hsa-mir-562,Colorectal Neoplasms,0.4562
hsa-mir-922,Colorectal Neoplasms,0.4561
hsa-mir-5590,Colorectal Neoplasms,0.4556
hsa-mir-891a,Colorectal Neoplasms,0.4556
hsa-mir-1245b,Colorectal Neoplasms,0.4551
hsa-mir-1304,Colorectal Neoplasms,0.4547
hsa-mir-6867,Colorectal Neoplasms,0.4543
hsa-mir-1268a,Colorectal Neoplasms,0.4534
hsa-mir-4262,Colorectal Neoplasms,0.4533
hsa-mir-3130-1,Colorectal Neoplasms,0.4531
hsa-mir-3682,Colorectal Neoplasms,0.4522
hsa-mir-6729,Colorectal Neoplasms,0.4518
hsa-mir-1291,Colorectal Neoplasms,0.4516
hsa-mir-1245a,Colorectal Neoplasms,0.4516
hsa-mir-378h,Colorectal Neoplasms,0.4512
hsa-mir-514a-1,Colorectal Neoplasms,0.4511
hsa-mir-762,Colorectal Neoplasms,0.4509
hsa-mir-4306,Colorectal Neoplasms,0.4505
hsa-mir-329-1,Colorectal Neoplasms,0.4503
hsa-mir-4463,Colorectal Neoplasms,0.45
hsa-mir-621,Colorectal Neoplasms,0.45
hsa-mir-548j,Colorectal Neoplasms,0.449
hsa-mir-519a-2,Colorectal Neoplasms,0.4486
hsa-mir-1226,Colorectal Neoplasms,0.4486
hsa-mir-1267,Colorectal Neoplasms,0.4483
hsa-mir-4644,Colorectal Neoplasms,0.4483
hsa-mir-606,Colorectal Neoplasms,0.4482
hsa-mir-6861,Colorectal Neoplasms,0.4479
hsa-mir-1249,Colorectal Neoplasms,0.4478
hsa-mir-527,Colorectal Neoplasms,0.4475
hsa-mir-3923,Colorectal Neoplasms,0.4469
hsa-mir-7107,Colorectal Neoplasms,0.446
hsa-mir-3148,Colorectal Neoplasms,0.4451
hsa-mir-656,Colorectal Neoplasms,0.4442
hsa-mir-1468,Colorectal Neoplasms,0.4437
hsa-mir-548t,Colorectal Neoplasms,0.4432
hsa-mir-3677,Colorectal Neoplasms,0.4431
hsa-mir-4449,Colorectal Neoplasms,0.4423
hsa-mir-4447,Colorectal Neoplasms,0.4414
hsa-mir-325,Colorectal Neoplasms,0.4407
hsa-mir-670,Colorectal Neoplasms,0.4407
hsa-mir-514a-3,Colorectal Neoplasms,0.4405
hsa-mir-581,Colorectal Neoplasms,0.4403
hsa-mir-509-3,Colorectal Neoplasms,0.4397
hsa-mir-3613,Colorectal Neoplasms,0.4394
hsa-mir-591,Colorectal Neoplasms,0.4392
hsa-mir-3654,Colorectal Neoplasms,0.4388
hsa-mir-938,Colorectal Neoplasms,0.4388
hsa-mir-3144,Colorectal Neoplasms,0.4371
hsa-mir-378e,Colorectal Neoplasms,0.4356
hsa-mir-4764,Colorectal Neoplasms,0.4345
hsa-mir-1471,Colorectal Neoplasms,0.4344
hsa-mir-516b-1,Colorectal Neoplasms,0.4335
hsa-mir-203b,Colorectal Neoplasms,0.4335
hsa-mir-541,Colorectal Neoplasms,0.4334
hsa-mir-631,Colorectal Neoplasms,0.4334
hsa-mir-644a,Colorectal Neoplasms,0.4329
hsa-mir-4324,Colorectal Neoplasms,0.4329
hsa-mir-943,Colorectal Neoplasms,0.4327
hsa-mir-1285-2,Colorectal Neoplasms,0.4321
hsa-mir-4778,Colorectal Neoplasms,0.432
hsa-mir-639,Colorectal Neoplasms,0.4318
hsa-mir-4469,Colorectal Neoplasms,0.4316
hsa-mir-1234,Colorectal Neoplasms,0.4312
hsa-mir-4739,Colorectal Neoplasms,0.4311
hsa-mir-598,Colorectal Neoplasms,0.4311
hsa-mir-633,Colorectal Neoplasms,0.4304
hsa-mir-3915,Colorectal Neoplasms,0.4303
hsa-mir-1233-2,Colorectal Neoplasms,0.4301
hsa-mir-3074,Colorectal Neoplasms,0.4299
hsa-mir-1185-1,Colorectal Neoplasms,0.4297
hsa-mir-4310,Colorectal Neoplasms,0.4291
hsa-mir-1181,Colorectal Neoplasms,0.4287
hsa-mir-626,Colorectal Neoplasms,0.4282
hsa-mir-4746,Colorectal Neoplasms,0.4271
hsa-mir-1322,Colorectal Neoplasms,0.4256
hsa-mir-933,Colorectal Neoplasms,0.4254
hsa-mir-764,Colorectal Neoplasms,0.4246
hsa-mir-1285-1,Colorectal Neoplasms,0.4238
hsa-mir-1825,Colorectal Neoplasms,0.4236
hsa-mir-3120,Colorectal Neoplasms,0.4223
hsa-mir-663b,Colorectal Neoplasms,0.4211
hsa-mir-921,Colorectal Neoplasms,0.4206
hsa-mir-3162,Colorectal Neoplasms,0.4197
hsa-mir-7161,Colorectal Neoplasms,0.4193
hsa-mir-889,Colorectal Neoplasms,0.4175
hsa-mir-3664,Colorectal Neoplasms,0.4174
hsa-mir-371b,Colorectal Neoplasms,0.4159
hsa-mir-569,Colorectal Neoplasms,0.4151
hsa-mir-4521,Colorectal Neoplasms,0.415
hsa-mir-4291,Colorectal Neoplasms,0.4144
hsa-mir-1206,Colorectal Neoplasms,0.4144
hsa-mir-4666a,Colorectal Neoplasms,0.4135
hsa-mir-496,Colorectal Neoplasms,0.4132
hsa-mir-329-2,Colorectal Neoplasms,0.4131
hsa-mir-105-1,Colorectal Neoplasms,0.4129
hsa-mir-4467,Colorectal Neoplasms,0.4124
hsa-mir-770,Colorectal Neoplasms,0.4123
hsa-mir-654,Colorectal Neoplasms,0.4121
hsa-mir-4458,Colorectal Neoplasms,0.4117
hsa-mir-640,Colorectal Neoplasms,0.4115
hsa-mir-1256,Colorectal Neoplasms,0.4109
hsa-mir-6853,Colorectal Neoplasms,0.4106
hsa-mir-3176,Colorectal Neoplasms,0.4105
hsa-mir-662,Colorectal Neoplasms,0.4101
hsa-mir-643,Colorectal Neoplasms,0.4101
hsa-mir-5091,Colorectal Neoplasms,0.409
hsa-mir-3130-2,Colorectal Neoplasms,0.4088
hsa-mir-558,Colorectal Neoplasms,0.4087
hsa-mir-548ac,Colorectal Neoplasms,0.4085
hsa-mir-4268,Colorectal Neoplasms,0.4084
hsa-mir-556,Colorectal Neoplasms,0.4081
hsa-mir-4496,Colorectal Neoplasms,0.4066
hsa-mir-4634,Colorectal Neoplasms,0.4066
hsa-mir-3646,Colorectal Neoplasms,0.4065
hsa-mir-1298,Colorectal Neoplasms,0.4058
hsa-mir-3157,Colorectal Neoplasms,0.4057
hsa-mir-3928,Colorectal Neoplasms,0.4056
hsa-mir-518a-2,Colorectal Neoplasms,0.4052
hsa-mir-937,Colorectal Neoplasms,0.4043
hsa-mir-5193,Colorectal Neoplasms,0.4043
hsa-mir-5586,Colorectal Neoplasms,0.4042
hsa-mir-1202,Colorectal Neoplasms,0.4032
hsa-mir-6798,Colorectal Neoplasms,0.403
hsa-mir-572,Colorectal Neoplasms,0.4019
hsa-mir-521-2,Colorectal Neoplasms,0.4007
hsa-mir-935,Colorectal Neoplasms,0.3999
hsa-mir-6133,Colorectal Neoplasms,0.3995
hsa-mir-3186,Colorectal Neoplasms,0.399
hsa-mir-3610,Colorectal Neoplasms,0.3988
hsa-mir-4290,Colorectal Neoplasms,0.3986
hsa-mir-376b,Colorectal Neoplasms,0.3981
hsa-mir-3960,Colorectal Neoplasms,0.3981
hsa-mir-3201,Colorectal Neoplasms,0.3977
hsa-mir-500b,Colorectal Neoplasms,0.397
hsa-mir-3065,Colorectal Neoplasms,0.3966
hsa-mir-1281,Colorectal Neoplasms,0.396
hsa-mir-4487,Colorectal Neoplasms,0.3957
hsa-mir-634,Colorectal Neoplasms,0.3955
hsa-mir-4302,Colorectal Neoplasms,0.3951
hsa-mir-1261,Colorectal Neoplasms,0.3938
hsa-mir-1293,Colorectal Neoplasms,0.3938
hsa-mir-551b,Colorectal Neoplasms,0.3938
hsa-mir-1255a,Colorectal Neoplasms,0.3925
hsa-mir-509-1,Colorectal Neoplasms,0.3922
hsa-mir-450b,Colorectal Neoplasms,0.3915
hsa-mir-1184-1,Colorectal Neoplasms,0.3915
hsa-mir-3175,Colorectal Neoplasms,0.39
hsa-mir-619,Colorectal Neoplasms,0.39
hsa-mir-4284,Colorectal Neoplasms,0.3899
hsa-mir-3177,Colorectal Neoplasms,0.3896
hsa-mir-602,Colorectal Neoplasms,0.3893
hsa-mir-3171,Colorectal Neoplasms,0.389
hsa-mir-4271,Colorectal Neoplasms,0.3885
hsa-mir-6088,Colorectal Neoplasms,0.3871
hsa-mir-3714,Colorectal Neoplasms,0.3865
hsa-mir-4758,Colorectal Neoplasms,0.3855
hsa-mir-4530,Colorectal Neoplasms,0.3845
hsa-mir-6831,Colorectal Neoplasms,0.3844
hsa-mir-4511,Colorectal Neoplasms,0.3842
hsa-mir-618,Colorectal Neoplasms,0.3842
hsa-mir-3135b,Colorectal Neoplasms,0.3838
hsa-mir-617,Colorectal Neoplasms,0.3837
hsa-mir-1277,Colorectal Neoplasms,0.3833
hsa-mir-3163,Colorectal Neoplasms,0.3826
hsa-mir-3976,Colorectal Neoplasms,0.381
hsa-mir-1324,Colorectal Neoplasms,0.381
hsa-mir-6508,Colorectal Neoplasms,0.3795
hsa-mir-3179-2,Colorectal Neoplasms,0.379
hsa-mir-4513,Colorectal Neoplasms,0.3785
hsa-mir-509-2,Colorectal Neoplasms,0.376
hsa-mir-3179-3,Colorectal Neoplasms,0.375
hsa-mir-4279,Colorectal Neoplasms,0.3748
hsa-mir-6838,Colorectal Neoplasms,0.3744
hsa-mir-614,Colorectal Neoplasms,0.3742
hsa-mir-3686,Colorectal Neoplasms,0.373
hsa-mir-571,Colorectal Neoplasms,0.3726
hsa-mir-6068,Colorectal Neoplasms,0.3725
hsa-mir-6799,Colorectal Neoplasms,0.3723
hsa-mir-517c,Colorectal Neoplasms,0.3722
hsa-mir-6086,Colorectal Neoplasms,0.3714
hsa-mir-4534,Colorectal Neoplasms,0.3705
hsa-mir-4298,Colorectal Neoplasms,0.3703
hsa-mir-4701,Colorectal Neoplasms,0.3702
hsa-mir-3663,Colorectal Neoplasms,0.3693
hsa-mir-550b-1,Colorectal Neoplasms,0.3689
hsa-mir-4772,Colorectal Neoplasms,0.3684
hsa-mir-649,Colorectal Neoplasms,0.3678
hsa-mir-1972-1,Colorectal Neoplasms,0.3673
hsa-mir-3195,Colorectal Neoplasms,0.3671
hsa-mir-1270,Colorectal Neoplasms,0.3669
hsa-mir-518d,Colorectal Neoplasms,0.3645
hsa-mir-6880,Colorectal Neoplasms,0.3645
hsa-mir-4446,Colorectal Neoplasms,0.3644
hsa-mir-1253,Colorectal Neoplasms,0.3644
hsa-mir-585,Colorectal Neoplasms,0.3641
hsa-mir-521-1,Colorectal Neoplasms,0.3636
hsa-mir-4294,Colorectal Neoplasms,0.3634
hsa-mir-548an,Colorectal Neoplasms,0.3628
hsa-mir-449c,Colorectal Neoplasms,0.3615
hsa-mir-550b-2,Colorectal Neoplasms,0.3614
hsa-mir-1264,Colorectal Neoplasms,0.3608
hsa-mir-4633,Colorectal Neoplasms,0.3607
hsa-mir-1286,Colorectal Neoplasms,0.3599
hsa-mir-3149,Colorectal Neoplasms,0.3597
hsa-mir-6069,Colorectal Neoplasms,0.359
hsa-mir-1178,Colorectal Neoplasms,0.3583
hsa-mir-4295,Colorectal Neoplasms,0.3554
hsa-mir-374c,Colorectal Neoplasms,0.3548
hsa-mir-583,Colorectal Neoplasms,0.3545
hsa-mir-6126,Colorectal Neoplasms,0.3542
hsa-mir-518f,Colorectal Neoplasms,0.3529
hsa-mir-668,Colorectal Neoplasms,0.3519
hsa-mir-648,Colorectal Neoplasms,0.3517
hsa-mir-4293,Colorectal Neoplasms,0.3503
hsa-mir-8084,Colorectal Neoplasms,0.3499
hsa-mir-4436b-1,Colorectal Neoplasms,0.3484
hsa-mir-4661,Colorectal Neoplasms,0.3463
hsa-mir-941-4,Colorectal Neoplasms,0.3453
hsa-mir-3611,Colorectal Neoplasms,0.3452
hsa-mir-5699,Colorectal Neoplasms,0.345
hsa-mir-451b,Colorectal Neoplasms,0.3441
hsa-mir-4500,Colorectal Neoplasms,0.3428
hsa-mir-4508,Colorectal Neoplasms,0.3415
hsa-mir-659,Colorectal Neoplasms,0.3399
hsa-mir-548p,Colorectal Neoplasms,0.3394
hsa-mir-1973,Colorectal Neoplasms,0.3389
hsa-mir-548a-3,Colorectal Neoplasms,0.3389
hsa-mir-4709,Colorectal Neoplasms,0.3383
hsa-mir-1343,Colorectal Neoplasms,0.3369
hsa-mir-548a-2,Colorectal Neoplasms,0.3364
hsa-mir-9500,Colorectal Neoplasms,0.3363
hsa-mir-3179-1,Colorectal Neoplasms,0.3361
hsa-mir-2909,Colorectal Neoplasms,0.3359
hsa-mir-550a-3,Colorectal Neoplasms,0.335
hsa-mir-6721,Colorectal Neoplasms,0.334
