circRNA,disease,preScore
circ_0095812,Bladder carcinoma,0.1211
hsa_circ_0000615,Bladder carcinoma,0.1108
hsa_circ_0000284,Bladder carcinoma,0.0635
hsa_circ_0001320,Lung adenocarcinoma,0.7716
hsa_circ_0000792,Lung adenocarcinoma,0.7485
hsa_circ_0004062,Lung adenocarcinoma,0.7402
hsa_circ_0025580,Lung adenocarcinoma,0.7273
hsa_circ_0000264,Lung adenocarcinoma,0.711
hsa_circ_0102537,Lung adenocarcinoma,0.7026
hsa_circ_0005962,Lung adenocarcinoma,0.7009
circ_0007766,Lung adenocarcinoma,0.6937
hsa_circ_0000690,Lung adenocarcinoma,0.6926
hsa_circ_0000326,Lung adenocarcinoma,0.6919
hsa_circ_0001588,Lung adenocarcinoma,0.6919
hsa_circ_0000211,Lung adenocarcinoma,0.6875
hsa_circ_0067512,Lung adenocarcinoma,0.68
hsa_circ_0001346,Lung adenocarcinoma,0.6785
hsa_circ_0020732,Lung adenocarcinoma,0.6746
hsa_circ_0001522,Lung adenocarcinoma,0.6712
hsa_circ_0000013,Lung adenocarcinoma,0.6688
hsa_circ_0001439,Lung adenocarcinoma,0.6615
hsa_circ_0062705,Lung adenocarcinoma,0.6595
hsa_circ_0006276,Lung adenocarcinoma,0.6545
hsa_circ_0001492,Lung adenocarcinoma,0.654
hsa_circ_0004777,Lung adenocarcinoma,0.6499
hsa_circ_0001715,Lung adenocarcinoma,0.6478
hsa_circ_0004417,Lung adenocarcinoma,0.6459
hsa_circ_0006427,Lung adenocarcinoma,0.6451
hsa_circ_0128332,Lung adenocarcinoma,0.6388
hsa_circ_0003176,Lung adenocarcinoma,0.6339
circ_0008193,Lung adenocarcinoma,0.6315
hsa_circ_0000944,Lung adenocarcinoma,0.6255
hsa_circ_0039161,Lung adenocarcinoma,0.621
hsa_circ_0030042,Lung adenocarcinoma,0.6205
hsa_circ_0008172,Lung adenocarcinoma,0.6135
circ_0091581,Lung adenocarcinoma,0.5994
hsa_circ_0000554,Lung adenocarcinoma,0.5964
hsa_circ_0047688,Lung adenocarcinoma,0.5961
hsa_circ_0005114,Lung adenocarcinoma,0.5936
hsa_circ_0048856,Lung adenocarcinoma,0.5936
hsa_circ_0000177,Lung adenocarcinoma,0.5911
hsa_circ_0091581,Lung adenocarcinoma,0.5911
hsa_circ_0064557,Lung adenocarcinoma,0.5893
hsa_circ_0004870,Lung adenocarcinoma,0.5876
hsa_circ_0043632,Lung adenocarcinoma,0.5844
hsa_circ_0001105,Lung adenocarcinoma,0.5835
hsa_circ_0063561,Lung adenocarcinoma,0.5807
hsa_circ_0006460,Lung adenocarcinoma,0.5804
hsa_circ_0089378,Lung adenocarcinoma,0.5782
hsa_circ_0058092,Lung adenocarcinoma,0.577
hsa_circ_0032463,Lung adenocarcinoma,0.5763
hsa_circ_0008558,Lung adenocarcinoma,0.5749
hsa_circ_0000504,Lung adenocarcinoma,0.5724
hsa_circ_0001283,Lung adenocarcinoma,0.5718
circ_0014130,Lung adenocarcinoma,0.5704
hsa_circ_0130810,Lung adenocarcinoma,0.5698
circ_0000338,Lung adenocarcinoma,0.5696
hsa_circ_0004585,Lung adenocarcinoma,0.5693
hsa_circ_0062582,Lung adenocarcinoma,0.5688
hsa_circ_0008003,Lung adenocarcinoma,0.5649
circ_0006404,Lung adenocarcinoma,0.5642
hsa_circ_0062459,Lung adenocarcinoma,0.5641
hsa_circ_0000523,Lung adenocarcinoma,0.5636
hsa_circ_0037515,Lung adenocarcinoma,0.5636
hsa_circ_0082003,Lung adenocarcinoma,0.5613
hsa_circ_0037516,Lung adenocarcinoma,0.5594
circ_0020394,Lung adenocarcinoma,0.5592
hsa_circ_0088233,Lung adenocarcinoma,0.5583
hsa_circ_0032462,Lung adenocarcinoma,0.5578
hsa_circ_0100891,Lung adenocarcinoma,0.5577
hsa_circ_0002052,Lung adenocarcinoma,0.5575
hsa_circ_0005442,Lung adenocarcinoma,0.5566
hsa_circ_0097271,Lung adenocarcinoma,0.5564
hsa_circ_0021254,Lung adenocarcinoma,0.555
hsa_circ_0002316,Lung adenocarcinoma,0.555
hsa_circ_0074033,Lung adenocarcinoma,0.5547
hsa_circ_0074169,Lung adenocarcinoma,0.5546
hsa_circ_0015879,Lung adenocarcinoma,0.5543
hsa_circ_0082689,Lung adenocarcinoma,0.5539
hsa_circ_0009112,Lung adenocarcinoma,0.5525
circ_0032462,Lung adenocarcinoma,0.5517
hsa_circ_0100129,Lung adenocarcinoma,0.5517
hsa_circ_0084171,Lung adenocarcinoma,0.5515
hsa_circ_0000657,Lung adenocarcinoma,0.5515
hsa_circ_0004826,Lung adenocarcinoma,0.5513
hsa_circ_0042261,Lung adenocarcinoma,0.5512
hsa_circ_0037658,Lung adenocarcinoma,0.5507
hsa_circ_0006054,Lung adenocarcinoma,0.5507
hsa_circ_0018293,Lung adenocarcinoma,0.5506
circ_0084043,Lung adenocarcinoma,0.55
hsa_circ_0019069,Lung adenocarcinoma,0.5495
hsa_circ_0001666,Lung adenocarcinoma,0.5491
hsa_circ_006100,Lung adenocarcinoma,0.548
hsa_circ_0029589,Lung adenocarcinoma,0.5479
hsa_circ_0026231,Lung adenocarcinoma,0.5479
hsa_circ_0069767,Lung adenocarcinoma,0.5479
hsa_circ_0001953,Lung adenocarcinoma,0.5476
hsa_circ_0054659,Lung adenocarcinoma,0.5475
circ_0028171,Lung adenocarcinoma,0.5472
hsa_circ_0050581,Lung adenocarcinoma,0.5471
hsa_circ_0029853,Lung adenocarcinoma,0.5471
hsa_circ_0057336,Lung adenocarcinoma,0.5444
hsa_circ_0082824,Lung adenocarcinoma,0.5441
hsa_circ_0000915,Lung adenocarcinoma,0.544
hsa_circ_0088030,Lung adenocarcinoma,0.5435
hsa_circ_0000654,Lung adenocarcinoma,0.543
hsa_circ_0006732,Lung adenocarcinoma,0.5422
hsa_circ_0093390,Lung adenocarcinoma,0.5421
hsa_circ_0068669,Lung adenocarcinoma,0.542
hsa_circ_0020123,Lung adenocarcinoma,0.542
hsa_circ_0086414,Lung adenocarcinoma,0.542
hsa_circ_0000650,Lung adenocarcinoma,0.5417
hsa_circ_0086241,Lung adenocarcinoma,0.5416
circ_0020123,Lung adenocarcinoma,0.5414
hsa_circ_0082182,Lung adenocarcinoma,0.5414
hsa_circ_0006318,Lung adenocarcinoma,0.5412
hsa_circ_0000042,Lung adenocarcinoma,0.5412
hsa_circ_0072410,Lung adenocarcinoma,0.5405
hsa_circ_0003141,Lung adenocarcinoma,0.5403
hsa_circ_0047905,Lung adenocarcinoma,0.5398
hsa_circ_0000799,Lung adenocarcinoma,0.5398
hsa_circ_0019456,Lung adenocarcinoma,0.5396
hsa_circ_0079549,Lung adenocarcinoma,0.5395
hsa_circ_0057576,Lung adenocarcinoma,0.5395
hsa_circ_0012737,Lung adenocarcinoma,0.539
hsa_circ_0006022,Lung adenocarcinoma,0.539
hsa_circ_0068942,Lung adenocarcinoma,0.5389
hsa_circ_0003915,Lung adenocarcinoma,0.5389
hsa_circ_0004050,Lung adenocarcinoma,0.5385
hsa_circ_0109952,Lung adenocarcinoma,0.5384
hsa_circ_0074039,Lung adenocarcinoma,0.5376
hsa_circ_0004873,Lung adenocarcinoma,0.5375
hsa_circ_0009547,Lung adenocarcinoma,0.5374
circ_0014717,Lung adenocarcinoma,0.5372
hsa_circ_0076535,Lung adenocarcinoma,0.5371
hsa_circ_0005567,Lung adenocarcinoma,0.5371
hsa_circ_0033351,Lung adenocarcinoma,0.5371
hsa_circ_0013520,Lung adenocarcinoma,0.5371
hsa_circ_0051079,Lung adenocarcinoma,0.5369
circ_001569,Lung adenocarcinoma,0.5367
hsa_circ_0000658,Lung adenocarcinoma,0.5364
circ_001430,Lung adenocarcinoma,0.5362
circ_0075538,Lung adenocarcinoma,0.5359
hsa_circ_0000673,Lung adenocarcinoma,0.5359
hsa_circ_0008043,Lung adenocarcinoma,0.5357
hsa_circ_0033079,Lung adenocarcinoma,0.5356
hsa_circ_0106803,Lung adenocarcinoma,0.535
hsa_circ_0043265,Lung adenocarcinoma,0.535
hsa_circ_0075686,Lung adenocarcinoma,0.5349
hsa_circ_0001255,Lung adenocarcinoma,0.5345
hsa_circ_0000039,Lung adenocarcinoma,0.5343
hsa_circ_0000105,Lung adenocarcinoma,0.5342
hsa_circ_0001192,Lung adenocarcinoma,0.5339
circ_0005230,Lung adenocarcinoma,0.5324
hsa_circ_0072304,Lung adenocarcinoma,0.5322
circ_0057553,Lung adenocarcinoma,0.5321
hsa_circ_0031594,Lung adenocarcinoma,0.532
hsa_circ_0012384,Lung adenocarcinoma,0.5311
circ_0005576,Lung adenocarcinoma,0.531
hsa_circ_0056285,Lung adenocarcinoma,0.5309
hsa_circ_0082688,Lung adenocarcinoma,0.5307
hsa_circ_0132246,Lung adenocarcinoma,0.5307
hsa_circ_0071375,Lung adenocarcinoma,0.5307
hsa_circ_0000147,Lung adenocarcinoma,0.5303
hsa_circ_0009172,Lung adenocarcinoma,0.5296
hsa_circ_0006251,Lung adenocarcinoma,0.5296
hsa_circ_0091579,Lung adenocarcinoma,0.5292
hsa_circ_0082081,Lung adenocarcinoma,0.5289
hsa_circ_0061276,Lung adenocarcinoma,0.5288
hsa_circ_0008507,Lung adenocarcinoma,0.5286
hsa_circ_0054652,Lung adenocarcinoma,0.5283
circ_000987,Lung adenocarcinoma,0.528
hsa_circ_0000374,Lung adenocarcinoma,0.5276
hsa_circ_0093859,Lung adenocarcinoma,0.5275
hsa_circ_0103021,Lung adenocarcinoma,0.5274
hsa_circ_0000026,Lung adenocarcinoma,0.5271
hsa_circ_0060927,Lung adenocarcinoma,0.5268
circ_0058063,Lung adenocarcinoma,0.5268
hsa_circ_0058063,Lung adenocarcinoma,0.5266
hsa_circ_0020394,Lung adenocarcinoma,0.5264
hsa_circ_0001550,Lung adenocarcinoma,0.5264
hsa_circ_0044520,Lung adenocarcinoma,0.5263
hsa_circ_0098964,Lung adenocarcinoma,0.5261
hsa_circ_0004442,Lung adenocarcinoma,0.5253
hsa_circ_0082333,Lung adenocarcinoma,0.5249
hsa_circ_0049730,Lung adenocarcinoma,0.5247
hsa_circ_0080145,Lung adenocarcinoma,0.5246
hsa_circ_0102231,Lung adenocarcinoma,0.5246
hsa_circ_0061395,Lung adenocarcinoma,0.5244
hsa_circ_0015260,Lung adenocarcinoma,0.5243
circ_0079593,Lung adenocarcinoma,0.5239
circ_0061395,Lung adenocarcinoma,0.5239
hsa_circ_0064451,Lung adenocarcinoma,0.5238
hsa_circ_0045602,Lung adenocarcinoma,0.5237
hsa_circ_0131235,Lung adenocarcinoma,0.5235
circ_0007841,Lung adenocarcinoma,0.5234
hsa_circ_0010575,Lung adenocarcinoma,0.5233
hsa_circ_0001564,Lung adenocarcinoma,0.5228
hsa_circ_0020007,Lung adenocarcinoma,0.5225
hsa_circ_0000711,Lung adenocarcinoma,0.5225
hsa_circ_0008583,Lung adenocarcinoma,0.5224
hsa_circ_0084003,Lung adenocarcinoma,0.5219
circ_0018064,Lung adenocarcinoma,0.5218
circ_0000218,Lung adenocarcinoma,0.5217
hsa_circ_0069094,Lung adenocarcinoma,0.5215
hsa_circ_0002111,Lung adenocarcinoma,0.5215
hsa_circ_0079586,Lung adenocarcinoma,0.5211
hsa_circ_0000670,Lung adenocarcinoma,0.5209
hsa_circ_0003258,Lung adenocarcinoma,0.5206
hsa_circ_0000502,Lung adenocarcinoma,0.5205
hsa_circ_0002138,Lung adenocarcinoma,0.5204
hsa_circ_0137606,Lung adenocarcinoma,0.5203
hsa_circ_0072387,Lung adenocarcinoma,0.5198
hsa_circ_0002346,Lung adenocarcinoma,0.5196
hsa_circ_0035197,Lung adenocarcinoma,0.5196
circ_0008305,Lung adenocarcinoma,0.5194
hsa_circ_0007750,Lung adenocarcinoma,0.5193
hsa_circ_0030569,Lung adenocarcinoma,0.519
hsa_circ_0088344,Lung adenocarcinoma,0.5182
hsa_circ_0087784,Lung adenocarcinoma,0.5181
circ_0015756,Lung adenocarcinoma,0.518
hsa_circ_0006411,Lung adenocarcinoma,0.5177
hsa_circ_0017728,Lung adenocarcinoma,0.5173
hsa_circ_0000218,Lung adenocarcinoma,0.5172
hsa_circ_0079662,Lung adenocarcinoma,0.5172
hsa_circ_0035445,Lung adenocarcinoma,0.517
hsa_circ_0062019,Lung adenocarcinoma,0.5167
hsa_circ_0103398,Lung adenocarcinoma,0.5165
hsa_circ_0008549,Lung adenocarcinoma,0.5164
hsa_circ_0132266,Lung adenocarcinoma,0.5164
hsa_circ_0026388,Lung adenocarcinoma,0.5163
hsa_circ_0001264,Lung adenocarcinoma,0.5159
hsa_circ_0008362,Lung adenocarcinoma,0.5157
hsa_circ_0000598,Lung adenocarcinoma,0.5157
circ_0037923,Lung adenocarcinoma,0.5157
hsa_circ_0032603,Lung adenocarcinoma,0.5154
hsa_circ_0002060,Lung adenocarcinoma,0.5153
circ_0062019,Lung adenocarcinoma,0.5151
hsa_circ_0100759,Lung adenocarcinoma,0.5151
hsa_circ_0075828,Lung adenocarcinoma,0.5148
hsa_circ_0081519,Lung adenocarcinoma,0.5144
hsa_circ_0022812,Lung adenocarcinoma,0.5144
hsa_circ_0005622,Lung adenocarcinoma,0.5143
hsa_circ_0001687,Lung adenocarcinoma,0.5141
hsa_circ_0000442,Lung adenocarcinoma,0.5139
hsa_circ_0007841,Lung adenocarcinoma,0.5139
hsa_circ_0110102,Lung adenocarcinoma,0.5139
hsa_circ_0109046,Lung adenocarcinoma,0.5137
hsa_circ_0005198,Lung adenocarcinoma,0.5137
hsa_circ_0051470,Lung adenocarcinoma,0.5135
hsa_circ_0054660,Lung adenocarcinoma,0.5134
hsa_circ_0044529,Lung adenocarcinoma,0.5134
circ_0057558,Lung adenocarcinoma,0.5133
hsa_circ_0005379,Lung adenocarcinoma,0.5132
hsa_circ_0084188,Lung adenocarcinoma,0.5132
hsa_circ_0089548,Lung adenocarcinoma,0.5128
hsa_circ_0000002,Lung adenocarcinoma,0.5126
hsa_circ_0026359,Lung adenocarcinoma,0.5125
circ_0000735,Lung adenocarcinoma,0.5124
circ_0074027,Lung adenocarcinoma,0.5124
hsa_circ_0079891,Lung adenocarcinoma,0.5121
hsa_circ_0002485,Lung adenocarcinoma,0.5116
hsa_circ_0004380,Lung adenocarcinoma,0.5116
hsa_circ_0092341,Lung adenocarcinoma,0.5115
hsa_circ_0085553,Lung adenocarcinoma,0.511
hsa_circ_0000367,Lung adenocarcinoma,0.5109
hsa_circ_0087432,Lung adenocarcinoma,0.5108
hsa_circ_0081108,Lung adenocarcinoma,0.5108
hsa_circ_0126991,Lung adenocarcinoma,0.5106
hsa_circ_0002137,Lung adenocarcinoma,0.5103
hsa_circ_0008667,Lung adenocarcinoma,0.5101
hsa_circ_0007013,Lung adenocarcinoma,0.5101
hsa_circ_0089105,Lung adenocarcinoma,0.5099
hsa_circ_0057340,Lung adenocarcinoma,0.5098
hsa_circ_0005015,Lung adenocarcinoma,0.5098
hsa_circ_0077232,Lung adenocarcinoma,0.5096
hsa_circ_0005046,Lung adenocarcinoma,0.5094
hsa_circ_0006916,Lung adenocarcinoma,0.5094
hsa_circ_0014243,Lung adenocarcinoma,0.5092
hsa_circ_0092315,Lung adenocarcinoma,0.509
hsa_circ_0075001,Lung adenocarcinoma,0.509
hsa_circ_0003586,Lung adenocarcinoma,0.5087
hsa_circ_0078768,Lung adenocarcinoma,0.5086
hsa_circ_0081146,Lung adenocarcinoma,0.5085
hsa_circ_0044519,Lung adenocarcinoma,0.5085
hsa_circ_0017250,Lung adenocarcinoma,0.5084
hsa_circ_0000592,Lung adenocarcinoma,0.5083
hsa_circ_0075341,Lung adenocarcinoma,0.5082
hsa_circ_0002018,Lung adenocarcinoma,0.5081
hsa_circ_0029601,Lung adenocarcinoma,0.508
hsa_circ_0092374,Lung adenocarcinoma,0.5079
hsa_circ_0131242,Lung adenocarcinoma,0.5078
hsa_circ_0092221,Lung adenocarcinoma,0.5077
hsa_circ_0027345,Lung adenocarcinoma,0.5074
hsa_circ_0134944,Lung adenocarcinoma,0.507
hsa_circ_0031979,Lung adenocarcinoma,0.507
hsa_circ_0133159,Lung adenocarcinoma,0.5069
hsa_circ_0004520,Lung adenocarcinoma,0.5067
hsa_circ_0000328,Lung adenocarcinoma,0.5067
hsa_circ_0079929,Lung adenocarcinoma,0.5066
hsa_circ_0010090,Lung adenocarcinoma,0.5066
hsa_circ_0093996,Lung adenocarcinoma,0.5066
hsa_circ_0048677,Lung adenocarcinoma,0.5064
hsa_circ_0085534,Lung adenocarcinoma,0.5063
hsa_circ_0008792,Lung adenocarcinoma,0.5063
hsa_circ_0001866,Lung adenocarcinoma,0.506
hsa_circ_0040081,Lung adenocarcinoma,0.5059
circ_0026344,Lung adenocarcinoma,0.5059
hsa_circ_0003391,Lung adenocarcinoma,0.5058
hsa_circ_001587,Lung adenocarcinoma,0.5057
hsa_circ_0002161,Lung adenocarcinoma,0.5056
hsa_circ_0030055,Lung adenocarcinoma,0.5055
hsa_circ_0002945,Lung adenocarcinoma,0.5053
hsa_circ_0036474,Lung adenocarcinoma,0.5053
hsa_circ_0101692,Lung adenocarcinoma,0.5053
hsa_circ_0003288,Lung adenocarcinoma,0.5052
hsa_circ_0092233,Lung adenocarcinoma,0.505
hsa_circ_0021001,Lung adenocarcinoma,0.5048
circ_0023642,Lung adenocarcinoma,0.5047
hsa_circ_0080975,Lung adenocarcinoma,0.5042
hsa_circ_0030018,Lung adenocarcinoma,0.5042
hsa_circ_0079876,Lung adenocarcinoma,0.5042
hsa_circ_0001098,Lung adenocarcinoma,0.5037
hsa_circ_0000993,Lung adenocarcinoma,0.5036
hsa_circ_0001776,Lung adenocarcinoma,0.503
hsa_circ_0043603,Lung adenocarcinoma,0.503
hsa_circ_0017536,Lung adenocarcinoma,0.503
hsa_circ_0004674,Lung adenocarcinoma,0.5029
hsa_circ_0004798,Lung adenocarcinoma,0.5027
hsa_circ_0063772,Lung adenocarcinoma,0.5026
hsa_circ_0081963,Lung adenocarcinoma,0.5026
hsa_circ_0001074,Lung adenocarcinoma,0.5026
hsa_circ_0058819,Lung adenocarcinoma,0.5025
hsa_circ_0034398,Lung adenocarcinoma,0.5023
hsa_circ_0015729,Lung adenocarcinoma,0.5023
hsa_circ_0061274,Lung adenocarcinoma,0.5021
circ_0040865,Lung adenocarcinoma,0.5017
hsa_circ_0102273,Lung adenocarcinoma,0.5016
hsa_circ_0005082,Lung adenocarcinoma,0.5015
hsa_circ_0076704,Lung adenocarcinoma,0.5013
hsa_circ_0000700,Lung adenocarcinoma,0.5013
hsa_circ_0001979,Lung adenocarcinoma,0.501
hsa_circ_0005051,Lung adenocarcinoma,0.5009
circ_0021093,Lung adenocarcinoma,0.5009
hsa_circ_0065404,Lung adenocarcinoma,0.5008
hsa_circ_0080210,Lung adenocarcinoma,0.5006
hsa_circ_0016788,Lung adenocarcinoma,0.5006
circ_002276,Lung adenocarcinoma,0.5005
circ_0005927,Lung adenocarcinoma,0.5004
hsa_circ_0008509,Lung adenocarcinoma,0.5004
hsa_circ_0062426,Lung adenocarcinoma,0.5001
hsa_circ_0072566,Lung adenocarcinoma,0.4999
hsa_circ_0091742,Lung adenocarcinoma,0.4997
hsa_circ_0006528,Lung adenocarcinoma,0.4997
hsa_circ_0006835,Lung adenocarcinoma,0.4997
circ_0016788,Lung adenocarcinoma,0.4996
hsa_circ_0002888,Lung adenocarcinoma,0.4996
hsa_circ_0060108,Lung adenocarcinoma,0.4995
hsa_circ_0082002,Lung adenocarcinoma,0.4994
hsa_circ_0133460,Lung adenocarcinoma,0.4994
hsa_circ_0087215,Lung adenocarcinoma,0.4993
hsa_circ_0000994,Lung adenocarcinoma,0.4992
hsa_circ_0029426,Lung adenocarcinoma,0.4992
hsa_circ_0014717,Lung adenocarcinoma,0.4991
hsa_circ_0076251,Lung adenocarcinoma,0.4991
hsa_circ_0012563,Lung adenocarcinoma,0.499
hsa_circ_0002130,Lung adenocarcinoma,0.499
hsa_circ_0058357,Lung adenocarcinoma,0.4988
hsa_circ_0077765,Lung adenocarcinoma,0.4987
hsa_circ_0007556,Lung adenocarcinoma,0.4987
hsa_circ_0038632,Lung adenocarcinoma,0.4987
hsa_circ_0001543,Lung adenocarcinoma,0.4987
hsa_circ_0127801,Lung adenocarcinoma,0.4983
hsa_circ_0012721,Lung adenocarcinoma,0.4983
hsa_circ_0001879,Lung adenocarcinoma,0.4982
hsa_circ_0082352,Lung adenocarcinoma,0.4982
hsa_circ_0008675,Lung adenocarcinoma,0.4979
hsa_circ_0056731,Lung adenocarcinoma,0.4979
hsa_circ_0008945,Lung adenocarcinoma,0.4978
hsa_circ_0034537,Lung adenocarcinoma,0.4977
hsa_circ_0043256,Lung adenocarcinoma,0.4976
hsa_circ_0001326,Lung adenocarcinoma,0.4976
hsa_circ_0032821,Lung adenocarcinoma,0.4975
hsa_circ_0007203,Lung adenocarcinoma,0.4973
hsa_circ_0007482,Lung adenocarcinoma,0.4973
hsa_circ_0030586,Lung adenocarcinoma,0.4972
circ_0001368,Lung adenocarcinoma,0.4972
hsa_circ_0043532,Lung adenocarcinoma,0.4971
hsa_circ_0057518,Lung adenocarcinoma,0.4971
hsa_circ_0113854,Lung adenocarcinoma,0.4971
hsa_circ_0003855,Lung adenocarcinoma,0.497
hsa_circ_0064923,Lung adenocarcinoma,0.4968
circ_0000629,Lung adenocarcinoma,0.4967
hsa_circ_0009109,Lung adenocarcinoma,0.4966
hsa_circ_0023826,Lung adenocarcinoma,0.4965
hsa_circ_0001725,Lung adenocarcinoma,0.4961
hsa_circ_0085154,Lung adenocarcinoma,0.4959
hsa_circ_0055724,Lung adenocarcinoma,0.4959
hsa_circ_0033988,Lung adenocarcinoma,0.4959
hsa_circ_0011292,Lung adenocarcinoma,0.4955
hsa_circ_0089974,Lung adenocarcinoma,0.4953
hsa_circ_0137008,Lung adenocarcinoma,0.4953
hsa_circ_0091570,Lung adenocarcinoma,0.4952
hsa_circ_0008133,Lung adenocarcinoma,0.4952
hsa_circ_0063526,Lung adenocarcinoma,0.4951
hsa_circ_0054657,Lung adenocarcinoma,0.4951
hsa_circ_0032627,Lung adenocarcinoma,0.4951
hsa_circ_0088442,Lung adenocarcinoma,0.4951
hsa_circ_0008344,Lung adenocarcinoma,0.495
circ_0062491,Lung adenocarcinoma,0.495
hsa_circ_0090956,Lung adenocarcinoma,0.495
circ_0001178,Lung adenocarcinoma,0.4949
hsa_circ_0053919,Lung adenocarcinoma,0.4948
circ_0085616,Lung adenocarcinoma,0.4946
hsa_circ_0066875,Lung adenocarcinoma,0.4946
hsa_circ_0016068,Lung adenocarcinoma,0.4944
hsa_circ_0044516,Lung adenocarcinoma,0.4942
hsa_circ_0001038,Lung adenocarcinoma,0.4941
hsa_circ_0092509,Lung adenocarcinoma,0.4941
hsa_circ_0056836,Lung adenocarcinoma,0.494
hsa_circ_0119873,Lung adenocarcinoma,0.4939
hsa_circ_0002483,Lung adenocarcinoma,0.4938
hsa_circ_0001178,Lung adenocarcinoma,0.4936
circ_0029426,Lung adenocarcinoma,0.4936
hsa_circ_0001394,Lung adenocarcinoma,0.4935
hsa_circ_0047285,Lung adenocarcinoma,0.4934
hsa_circ_0140388,Lung adenocarcinoma,0.4934
hsa_circ_0069131,Lung adenocarcinoma,0.4932
hsa_circ_0031288,Lung adenocarcinoma,0.4931
hsa_circ_0009361,Lung adenocarcinoma,0.4929
hsa_circ_0017311,Lung adenocarcinoma,0.4929
hsa_circ_0038467,Lung adenocarcinoma,0.4929
hsa_circ_0008274,Lung adenocarcinoma,0.4927
hsa_circ_0025933,Lung adenocarcinoma,0.4927
hsa_circ_0004350,Lung adenocarcinoma,0.4927
hsa_circ_0083682,Lung adenocarcinoma,0.4926
hsa_circ_0075930,Lung adenocarcinoma,0.4926
hsa_circ_0069718,Lung adenocarcinoma,0.4925
hsa_circ_0000437,Lung adenocarcinoma,0.4924
circ_0063517,Lung adenocarcinoma,0.4924
hsa_circ_0007331,Lung adenocarcinoma,0.4924
hsa_circ_0000005,Lung adenocarcinoma,0.4923
circ_00121,Lung adenocarcinoma,0.4922
hsa_circ_0101308,Lung adenocarcinoma,0.4921
hsa_circ_006740,Lung adenocarcinoma,0.4919
hsa_circ_0085428,Lung adenocarcinoma,0.4917
circ_003172,Lung adenocarcinoma,0.4917
hsa_circ_0008068,Lung adenocarcinoma,0.4913
hsa_circ_0057481,Lung adenocarcinoma,0.4912
hsa_circ_0002968,Lung adenocarcinoma,0.4911
hsa_circ_0008016,Lung adenocarcinoma,0.4908
hsa_circ_0007843,Lung adenocarcinoma,0.4906
hsa_circ_0016624,Lung adenocarcinoma,0.4906
hsa_circ_0017639,Lung adenocarcinoma,0.4905
hsa_circ_0017736,Lung adenocarcinoma,0.4905
hsa_circ_0005529,Lung adenocarcinoma,0.4904
hsa_circ_0003159,Lung adenocarcinoma,0.4902
hsa_circ_0004913,Lung adenocarcinoma,0.4902
hsa_circ_0009634,Lung adenocarcinoma,0.4902
hsa_circ_0000274,Lung adenocarcinoma,0.4901
hsa_circ_0127859,Lung adenocarcinoma,0.4898
hsa_circ_0004379,Lung adenocarcinoma,0.4896
hsa_circ_0023064,Lung adenocarcinoma,0.4895
hsa_circ_0010170,Lung adenocarcinoma,0.4893
hsa_circ_0018534,Lung adenocarcinoma,0.4892
hsa_circ_0076979,Lung adenocarcinoma,0.4891
hsa_circ_0087206,Lung adenocarcinoma,0.489
hsa_circ_0004264,Lung adenocarcinoma,0.489
hsa_circ_0002360,Lung adenocarcinoma,0.4889
hsa_circ_0005615,Lung adenocarcinoma,0.4888
hsa_circ_0058107,Lung adenocarcinoma,0.4887
hsa_circ_0137814,Lung adenocarcinoma,0.4887
circ_0102049,Lung adenocarcinoma,0.4886
hsa_circ_0005603,Lung adenocarcinoma,0.4885
hsa_circ_0070401,Lung adenocarcinoma,0.4885
hsa_circ_0008602,Lung adenocarcinoma,0.4883
hsa_circ_0043497,Lung adenocarcinoma,0.4883
hsa_circ_0006260,Lung adenocarcinoma,0.4882
hsa_circ_0011780,Lung adenocarcinoma,0.4882
hsa_circ_0003922,Lung adenocarcinoma,0.4882
hsa_circ_0090049,Lung adenocarcinoma,0.4879
hsa_circ_0046366,Lung adenocarcinoma,0.4879
hsa_circ_0041946,Lung adenocarcinoma,0.4877
hsa_circ_0003732,Lung adenocarcinoma,0.4877
hsa_circ_0009362,Lung adenocarcinoma,0.4876
hsa_circ_0052112,Lung adenocarcinoma,0.4874
hsa_circ_0102446,Lung adenocarcinoma,0.4873
circ_0002483,Lung adenocarcinoma,0.4872
hsa_circ_0000467,Lung adenocarcinoma,0.4872
hsa_circ_0003594,Lung adenocarcinoma,0.4871
hsa_circ_0050707,Lung adenocarcinoma,0.4871
hsa_circ_0076906,Lung adenocarcinoma,0.487
hsa_circ_0000798,Lung adenocarcinoma,0.4869
hsa_circ_0000282,Lung adenocarcinoma,0.4868
hsa_circ_0087391,Lung adenocarcinoma,0.4868
hsa_circ_0009558,Lung adenocarcinoma,0.4867
hsa_circ_0001875,Lung adenocarcinoma,0.4867
hsa_circ_0007121,Lung adenocarcinoma,0.4865
hsa_circ_0004619,Lung adenocarcinoma,0.4865
hsa_circ_0038262,Lung adenocarcinoma,0.4865
hsa_circ_0046600,Lung adenocarcinoma,0.4861
hsa_circ_0000981,Lung adenocarcinoma,0.4859
hsa_circ_0091822,Lung adenocarcinoma,0.4859
hsa_circ_0000345,Lung adenocarcinoma,0.4857
hsa_circ_0012919,Lung adenocarcinoma,0.4855
hsa_circ_0004680,Lung adenocarcinoma,0.4851
hsa_circ_0003221,Lung adenocarcinoma,0.4851
circ_0000326,Lung adenocarcinoma,0.4845
hsa_circ_0002495,Lung adenocarcinoma,0.4844
